requisito_id,tipo,licenca,documento,modulo,topico,teste_aderencia,evidencia_esperada,peso,impacto,norma_origem,artigo_referencia,aplicabilidade_uf,data_mapeamento
R.34,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.2.1 – Potencialidade Espeleológica,As perguntas sobre cavidades foram respondidas conforme TR?,a) Indicação de urbanização no raio de 250 m,,,,,MG,2024-01-01
R.35,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.2.1 – Potencialidade Espeleológica,As perguntas sobre cavidades foram respondidas conforme TR?,b) Existência de cavidades,,,,,MG,2024-01-01
R.36,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.2.1 – Potencialidade Espeleológica,As perguntas sobre cavidades foram respondidas conforme TR?,c) Identificação de impactos potenciais,,,,,MG,2024-01-01
R.37,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.2.1 – Potencialidade Espeleológica,As perguntas sobre cavidades foram respondidas conforme TR?,d) Medidas e estudos exigidos/indicados,,,,,MG,2024-01-01
R.38,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.3 – Fatores de Restrição ou Vedação,O item traz claramente a existência ou não de fatores de restrição?,a) Indicação positiva ou negativa,,,,,MG,2024-01-01
R.39,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.3 – Fatores de Restrição ou Vedação,O item traz claramente a existência ou não de fatores de restrição?,b) Fatores discriminados conforme Tabela 5,,,,,MG,2024-01-01
R.40,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.3 – Fatores de Restrição ou Vedação,O item traz claramente a existência ou não de fatores de restrição?,c) Ressalvas legais aplicáveis,,,,,MG,2024-01-01
R.41,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.3 – Fatores de Restrição ou Vedação,O item traz claramente a existência ou não de fatores de restrição?,d) Complementos necessários,,,,,MG,2024-01-01
R.42,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.4 – Ampliação de Atividade,As informações sobre ampliação foram apresentadas?,a) Indicação se é ou não ampliação,,,,,MG,2024-01-01
R.43,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.4 – Ampliação de Atividade,As informações sobre ampliação foram apresentadas?,b) Nº do processo anterior,,,,,MG,2024-01-01
R.44,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.4 – Ampliação de Atividade,As informações sobre ampliação foram apresentadas?,c) Quantidade antes da ampliação,,,,,MG,2024-01-01
R.45,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.4 – Ampliação de Atividade,As informações sobre ampliação foram apresentadas?,d) Quantidade após ampliação,,,,,MG,2024-01-01
R.46,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.5 – Outras Atividades Não Licenciadas pelo RAS,As atividades adicionais foram listadas corretamente?,a) Código DN 217,,,,,MG,2024-01-01
R.47,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.5 – Outras Atividades Não Licenciadas pelo RAS,As atividades adicionais foram listadas corretamente?,b) Descrição da atividade,,,,,MG,2024-01-01
R.48,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.5 – Outras Atividades Não Licenciadas pelo RAS,As atividades adicionais foram listadas corretamente?,c) Parâmetro/unidade,,,,,MG,2024-01-01
R.49,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.5 – Outras Atividades Não Licenciadas pelo RAS,As atividades adicionais foram listadas corretamente?,d) Quantidade e início,,,,,MG,2024-01-01
R.50,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.6 – Licenças Ambientais Vigentes,As licenças vigentes estão corretamente informadas?,a) Nº do processo,,,,,MG,2024-01-01
R.51,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.6 – Licenças Ambientais Vigentes,As licenças vigentes estão corretamente informadas?,b) Certificado,,,,,MG,2024-01-01
R.52,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.6 – Licenças Ambientais Vigentes,As licenças vigentes estão corretamente informadas?,c) Objeto,,,,,MG,2024-01-01
R.53,,,LAS_RAS,MÓDULO 2 — REGULARIZAÇÃO AMBIENTAL,Tópico 2.6 – Licenças Ambientais Vigentes,As licenças vigentes estão corretamente informadas?,d) Datas de concessão e validade,,,,,MG,2024-01-01
R.54,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.1 – Vegetação,O relatório identifica corretamente os tipos de vegetação?,a) Indicação se há ou não remanescentes,,,,,MG,2024-01-01
R.55,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.1 – Vegetação,O relatório identifica corretamente os tipos de vegetação?,b) Tipo(s) selecionado(s),,,,,MG,2024-01-01
R.56,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.1 – Vegetação,O relatório identifica corretamente os tipos de vegetação?,c) Categoria(s) da formação vegetal,,,,,MG,2024-01-01
R.57,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.1 – Vegetação,O relatório identifica corretamente os tipos de vegetação?,d) Especificações adicionais quando “outro”,,,,,MG,2024-01-01
R.58,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.2 – Recursos Hídricos Superficiais,A presença de recursos hídricos foi identificada?,a) Indicação de presença ou ausência,,,,,MG,2024-01-01
R.59,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.2 – Recursos Hídricos Superficiais,A presença de recursos hídricos foi identificada?,b) Tipo de corpo hídrico,,,,,MG,2024-01-01
R.60,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.2 – Recursos Hídricos Superficiais,A presença de recursos hídricos foi identificada?,c) Classificação adequada,,,,,MG,2024-01-01
R.61,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.2 – Recursos Hídricos Superficiais,A presença de recursos hídricos foi identificada?,d) Informações adicionais quando “outro”,,,,,MG,2024-01-01
R.62,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.3 – Caracterização Geológica e Geomorfológica,A descrição atende a todos os itens solicitados?,a) Litologias predominantes,,,,,MG,2024-01-01
R.63,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.3 – Caracterização Geológica e Geomorfológica,A descrição atende a todos os itens solicitados?,b) Unidade geomorfológica,,,,,MG,2024-01-01
R.64,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.3 – Caracterização Geológica e Geomorfológica,A descrição atende a todos os itens solicitados?,"c) Relevo, geologia, solos e suscetibilidade",,,,,MG,2024-01-01
R.65,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.3 – Caracterização Geológica e Geomorfológica,A descrição atende a todos os itens solicitados?,d) Relação com lavra e estruturas associadas,,,,,MG,2024-01-01
R.66,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.4 – Feições Cársticas,Foram avaliadas as ocorrências cársticas?,a) Indicação de existência,,,,,MG,2024-01-01
R.67,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.4 – Feições Cársticas,Foram avaliadas as ocorrências cársticas?,b) Descrição das feições,,,,,MG,2024-01-01
R.68,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.4 – Feições Cársticas,Foram avaliadas as ocorrências cársticas?,c) Indicação de intervenção,,,,,MG,2024-01-01
R.69,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.4 – Feições Cársticas,Foram avaliadas as ocorrências cársticas?,"d) Descrição da intervenção, se aplicável",,,,,MG,2024-01-01
R.70,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.5 – Uso e Ocupação do Solo,Os usos na área de impacto direto foram listados?,a) Categoria de uso,,,,,MG,2024-01-01
R.71,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.5 – Uso e Ocupação do Solo,Os usos na área de impacto direto foram listados?,b) Atividades presentes,,,,,MG,2024-01-01
R.72,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.5 – Uso e Ocupação do Solo,Os usos na área de impacto direto foram listados?,c) Indicação de áreas sensíveis,,,,,MG,2024-01-01
R.73,,,LAS_RAS,MÓDULO 3 — CARACTERIZAÇÃO LOCACIONAL,Tópico 3.5 – Uso e Ocupação do Solo,Os usos na área de impacto direto foram listados?,d) Especificação quando “outro”,,,,,MG,2024-01-01
R.74,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.1 – Áreas do Empreendimento,Todas as áreas foram preenchidas conforme quadro?,a) Área total e construída,,,,,MG,2024-01-01
R.75,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.1 – Áreas do Empreendimento,Todas as áreas foram preenchidas conforme quadro?,b) Área de lavra e servidões,,,,,MG,2024-01-01
R.76,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.1 – Áreas do Empreendimento,Todas as áreas foram preenchidas conforme quadro?,c) Área degradada e reabilitada,,,,,MG,2024-01-01
R.77,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.1 – Áreas do Empreendimento,Todas as áreas foram preenchidas conforme quadro?,d) Percentual de recuperação,,,,,MG,2024-01-01
R.78,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.2 – Recursos Humanos,A equipe foi informada de forma completa?,a) Produção,,,,,MG,2024-01-01
R.79,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.2 – Recursos Humanos,A equipe foi informada de forma completa?,b) Administrativo,,,,,MG,2024-01-01
R.80,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.2 – Recursos Humanos,A equipe foi informada de forma completa?,c) Total de funcionários,,,,,MG,2024-01-01
R.81,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.2 – Recursos Humanos,A equipe foi informada de forma completa?,d) Informações coerentes,,,,,MG,2024-01-01
R.82,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.3 – Regime de Operação,As condições de operação foram detalhadas?,a) Turnos e horas por turno,,,,,MG,2024-01-01
R.83,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.3 – Regime de Operação,As condições de operação foram detalhadas?,b) Meses/ano e dias/semana,,,,,MG,2024-01-01
R.84,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.3 – Regime de Operação,As condições de operação foram detalhadas?,c) Atividades sazonais,,,,,MG,2024-01-01
R.85,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.3 – Regime de Operação,As condições de operação foram detalhadas?,d) Porcentagem de redução,,,,,MG,2024-01-01
R.86,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.4 – Produção Mineral,Os dados produtivos foram completamente informados?,a) Substâncias e rochas matriz,,,,,MG,2024-01-01
R.87,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.4 – Produção Mineral,Os dados produtivos foram completamente informados?,b) ROM e recuperação,,,,,MG,2024-01-01
R.88,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.4 – Produção Mineral,Os dados produtivos foram completamente informados?,c) Produção líquida,,,,,MG,2024-01-01
R.89,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.4 – Produção Mineral,Os dados produtivos foram completamente informados?,"d) Rejeito, estéril, vida útil e avanço de lavra",,,,,MG,2024-01-01
R.90,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5 – Método Produtivo,Os métodos e sistemas foram descritos adequadamente?,a) Forma de desmonte,,,,,MG,2024-01-01
R.91,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5 – Método Produtivo,Os métodos e sistemas foram descritos adequadamente?,b) Método de lavra,,,,,MG,2024-01-01
R.92,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5 – Método Produtivo,Os métodos e sistemas foram descritos adequadamente?,c) Beneficiamento,,,,,MG,2024-01-01
R.93,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5 – Método Produtivo,Os métodos e sistemas foram descritos adequadamente?,"d) Sistemas de drenagem, água e transporte",,,,,MG,2024-01-01
R.94,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.1 – Equipamentos,Os equipamentos foram listados conforme TR?,a) Tipo do equipamento,,,,,MG,2024-01-01
R.95,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.1 – Equipamentos,Os equipamentos foram listados conforme TR?,b) Quantidade,,,,,MG,2024-01-01
R.96,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.1 – Equipamentos,Os equipamentos foram listados conforme TR?,c) Capacidade máxima,,,,,MG,2024-01-01
R.97,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.1 – Equipamentos,Os equipamentos foram listados conforme TR?,d) Produção efetiva,,,,,MG,2024-01-01
R.98,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.2 – Materiais e Insumos,Os materiais utilizados estão listados?,a) Tipo e descrição,,,,,MG,2024-01-01
R.99,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.2 – Materiais e Insumos,Os materiais utilizados estão listados?,b) Consumo mensal,,,,,MG,2024-01-01
R.100,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.2 – Materiais e Insumos,Os materiais utilizados estão listados?,c) Acondicionamento,,,,,MG,2024-01-01
R.101,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.5.2 – Materiais e Insumos,Os materiais utilizados estão listados?,d) Armazenamento/destino,,,,,MG,2024-01-01
R.102,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.6 – Unidades Operacionais,Todas as unidades foram adequadamente caracterizadas?,a) Tratamento de minerais,,,,,MG,2024-01-01
R.103,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.6 – Unidades Operacionais,Todas as unidades foram adequadamente caracterizadas?,b) Pilha de estéril/rejeito,,,,,MG,2024-01-01
R.104,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.6 – Unidades Operacionais,Todas as unidades foram adequadamente caracterizadas?,c) Estradas,,,,,MG,2024-01-01
R.105,,,LAS_RAS,MÓDULO 4 — CARACTERIZAÇÃO DO EMPREENDIMENTO,Tópico 4.6 – Unidades Operacionais,Todas as unidades foram adequadamente caracterizadas?,d) Atividades acessórias,,,,,MG,2024-01-01
R.106,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.1 – Uso de Água,O uso de água foi especificado conforme o TR?,a) Finalidade,,,,,MG,2024-01-01
R.107,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.1 – Uso de Água,O uso de água foi especificado conforme o TR?,b) Consumo máximo e médio,,,,,MG,2024-01-01
R.108,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.1 – Uso de Água,O uso de água foi especificado conforme o TR?,c) Origem,,,,,MG,2024-01-01
R.109,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.1 – Uso de Água,O uso de água foi especificado conforme o TR?,d) Consumo total mensal,,,,,MG,2024-01-01
R.110,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.2 – Desaguamento da Mina,As informações sobre desaguamento estão completas?,a) Intervenção em aquífero,,,,,MG,2024-01-01
R.111,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.2 – Desaguamento da Mina,As informações sobre desaguamento estão completas?,b) Rebaixamento do nível da água,,,,,MG,2024-01-01
R.112,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.2 – Desaguamento da Mina,As informações sobre desaguamento estão completas?,c) Vazão projetada,,,,,MG,2024-01-01
R.113,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.2 – Desaguamento da Mina,As informações sobre desaguamento estão completas?,d) Destinação da água drenada,,,,,MG,2024-01-01
R.114,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.3 – Processos Erosivos,Ocorrências erosivas foram avaliadas?,a) Identificação de processos erosivos,,,,,MG,2024-01-01
R.115,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.3 – Processos Erosivos,Ocorrências erosivas foram avaliadas?,b) Descrição dos eventos,,,,,MG,2024-01-01
R.116,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.3 – Processos Erosivos,Ocorrências erosivas foram avaliadas?,c) Medidas de mitigação,,,,,MG,2024-01-01
R.117,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.3 – Processos Erosivos,Ocorrências erosivas foram avaliadas?,d) Ações preventivas,,,,,MG,2024-01-01
R.118,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.4 – Efluentes Líquidos,Os efluentes foram identificados e organizados?,a) Tipos e fontes,,,,,MG,2024-01-01
R.119,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.4 – Efluentes Líquidos,Os efluentes foram identificados e organizados?,b) Quantidade,,,,,MG,2024-01-01
R.120,,,LAS_RAS,"MÓDULO 5 — ASPECTOS, IMPACTOS E MEDIDAS",Tópico 5.4 – Efluentes Líquidos,Os efluentes foram identificados e organizados?,c) Tratamento existente ou necessário,,,,,MG,2024-01-01
