requisito_id,tipo,licenca,documento,modulo,topico,teste_aderencia,evidencia_esperada,peso,impacto,norma_origem,artigo_referencia,aplicabilidade_uf,data_mapeamento
RP.042,Legal,,PAE - Plano de Acao de Emergencia,MODULO 6 - EMERGENCIA,Topico 6.2 - PAE NRM-19,O PAE NRM-19 esta vigente e assinado?,PAE + ART,3,Alto,NRM-19,,MG,2026-04-18
RP.043,Tecnica,,Mapa da ZAS,MODULO 6 - EMERGENCIA,Topico 6.3 - ZAS/ZSS,A ZAS esta delimitada e comunicada?,Mapa ZAS + comunicacao a comunidades,3,Alto,NBR 13028-3 + GISTM,Princ.14,MG,2026-04-18
RP.044,Tecnica,,Mapa da ZSS,MODULO 6 - EMERGENCIA,Topico 6.3 - ZAS/ZSS,A ZSS esta delimitada?,Mapa ZSS,2,Medio,NBR 13028-3,,MG,2026-04-18
RP.045,Gestao,,Protocolo de comunicacao com defesa civil,MODULO 6 - EMERGENCIA,Topico 6.4 - Defesa Civil,Existe protocolo com Defesa Civil municipal e estadual?,Protocolo assinado + canal de contato,2,Medio,PL 2519/2024 MG,,MG,2026-04-18
RP.046,Gestao,,Simulados periodicos com comunidades,MODULO 6 - EMERGENCIA,Topico 6.5 - Simulados,Ocorreram simulados anuais com comunidades no ultimo ciclo?,Relatorios de simulado + lista de presenca,2,Medio,PL 2519/2024 MG + GISTM,Princ.14,MG,2026-04-18
RP.047,Tecnica,,Sistema de alerta sonoro,MODULO 6 - EMERGENCIA,Topico 6.6 - Alerta,Sirenes e sistema de alerta estao instalados e testados?,Registro de testes periodicos,3,Alto,Lei MG 23.291/2019,,MG,2026-04-18
RP.048,Legal,,Notificacao em ate 12h ao Sisema e defesa civil,MODULO 6 - EMERGENCIA,Topico 6.7 - Notificacao,O procedimento documenta notificacao em <=12h a orgaos competentes?,POP de notificacao + canais,3,Alto,PL 2519/2024 MG,Art.6 I,MG,2026-04-18
RP.049,Legal,,PARE - Plano de Aproveitamento de Rejeitos e Estereis,MODULO 7 - APROVEITAMENTO,Topico 7.1 - PARE,O PARE foi elaborado por profissional habilitado?,PARE com ART,3,Alto,Res. ANM 189/2024,,MG,2026-04-18
RP.050,Legal,,PARE - Plano de Aproveitamento de Rejeitos e Estereis,MODULO 7 - APROVEITAMENTO,Topico 7.1 - PARE,"O PARE contem caracterizacao fisica, quimica e mineralogica?",Ensaios + tabela completa,3,Alto,Res. ANM 189/2024,,MG,2026-04-18
RP.051,Legal,,PARE - Plano de Aproveitamento de Rejeitos e Estereis,MODULO 7 - APROVEITAMENTO,Topico 7.1 - PARE,O PARE apresenta alternativas de exploracao e destinacao?,Matriz de alternativas + viabilidade,2,Medio,Res. ANM 189/2024,,MG,2026-04-18
RP.052,Legal,,Servidao mineral registrada,MODULO 7 - APROVEITAMENTO,Topico 7.2 - Servidao,"Se a pilha esta em terreno de terceiro, ha servidao mineral registrada?",Matricula com averbacao,3,Alto,Res. ANM 189/2024,,MG,2026-04-18
RP.053,Legal,,Declaracao em RAL,MODULO 7 - APROVEITAMENTO,Topico 7.3 - RAL,O RAL contem campos de pilhas e aproveitamento preenchidos?,Printscreen ou PDF do RAL,2,Medio,Res. ANM 85/2021,,MG,2026-04-18
RP.054,Tecnica,,Plano de fechamento da pilha,MODULO 8 - FECHAMENTO,Topico 8.1 - Plano Geral,Existe plano de fechamento com geometria final?,Projeto as-closed + taludes intermediarios e globais,2,Medio,NBR 13028-3,,MG,2026-04-18
RP.055,Tecnica,,Plano de fechamento progressivo,MODULO 8 - FECHAMENTO,Topico 8.2 - Fechamento Progressivo,Ha plano de fechamento progressivo por trechos?,Cronograma com reabilitacao por trecho,2,Medio,NBR 13028-3 + GISTM,,MG,2026-04-18
RP.056,Tecnica,,Estabilidade quimica pos-operacao,MODULO 8 - FECHAMENTO,Topico 8.3 - Quimica Pos-Operacao,Foi avaliada drenagem acida e lixiviacao a longo prazo?,Estudo geoquimico + modelo predicao,2,Medio,NBR 13028-3,,MG,2026-04-18
RP.057,Tecnica,,PRAD,MODULO 8 - FECHAMENTO,Topico 8.4 - PRAD,O PRAD foi aprovado pelo orgao ambiental?,PRAD com parecer de aprovacao,2,Medio,CONAMA 4/2010,,MG,2026-04-18
RP.058,Digital,,Ficha publica da pilha,MODULO 9 - TRANSPARENCIA,Topico 9.1 - Ficha Publica,"Existe ficha publica com localizacao, tamanho e potencial de danos?",URL publica acessivel + dados completos,3,Alto,PL 2519/2024 MG,Art.6 VI-a,MG,2026-04-18
RP.059,Digital,,Portal publico com analises de estabilidade,MODULO 9 - TRANSPARENCIA,Topico 9.2 - Portal,O portal exibe analises e identifica responsavel por ART?,URL publica com relatorios e ART,3,Alto,PL 2519/2024 MG,Art.6 VI-b,MG,2026-04-18
RP.060,Legal,,Comunicacao previa de modificacao,MODULO 9 - TRANSPARENCIA,Topico 9.3 - Comunicacao,Modificacoes sao comunicadas previamente ao MMA e orgao estadual?,Oficios enviados + protocolos,2,Medio,PL 3799/2024,Art.58-E,MG,2026-04-18
RP.061,Gestao,,EOR designado,MODULO 10 - GOVERNANCA GISTM,Topico 10.1 - EOR,Existe Engineer of Record designado com credenciais publicas?,Carta de designacao + credenciais,3,Alto,GISTM,Principio 3,MG,2026-04-18
RP.062,Gestao,,RTFE,MODULO 10 - GOVERNANCA GISTM,Topico 10.2 - RTFE,Existe Responsible Tailings Facility Engineer interno?,Organograma + carta,2,Medio,GISTM,Principio 4,MG,2026-04-18
RP.063,Gestao,,ITRB,MODULO 10 - GOVERNANCA GISTM,Topico 10.3 - ITRB,"Para facility very high/extreme, ha Independent Tailings Review Board ativo?",Ata de reunioes + composicao,3,Alto,GISTM,Principio 13,MG,2026-04-18
RP.064,Gestao,,Politicas corporativas GISTM,MODULO 10 - GOVERNANCA GISTM,Topico 10.4 - Politicas,As politicas corporativas estao alinhadas aos 15 principios do GISTM?,Documento politico + matriz de aderencia,2,Medio,GISTM,15 Principios,MG,2026-04-18
RP.065,Gestao,,Classificacao de consequencia publicada,MODULO 10 - GOVERNANCA GISTM,Topico 10.5 - Classificacao,A categoria de consequencia esta publicada e atualizada?,URL publica com data de revisao,2,Medio,GISTM,Principio 6,MG,2026-04-18
RP.066,Tecnica,,TR especifico SEMAD para A-05-04-7,MODULO 11 - TR SEMAD,Topico 11.1 - TR Atividade,Os estudos seguiram o TR especifico para A-05-04-7 (pilhas Fe)?,Comparativo estudo x TR SEMAD,3,Alto,SEMAD/FEAM + DN COPAM 217/2017,,MG,2026-04-18
RP.067,Tecnica,,EIA/RIMA,MODULO 11 - TR SEMAD,Topico 11.2 - EIA/RIMA,"Para Classe 5-6, existe EIA/RIMA aprovado?",Parecer unico de aprovacao,3,Alto,CONAMA 237/97 + DN COPAM 217/2017,,MG,2026-04-18
RP.068,Tecnica,,PCA,MODULO 11 - TR SEMAD,Topico 11.3 - PCA,Existe PCA - Plano de Controle Ambiental?,PCA com cronograma + responsavel,3,Alto,CONAMA 237/97,,MG,2026-04-18
RP.069,Tecnica,,Plano de QA/QC,MODULO 12 - CONSTRUCAO,Topico 12.1 - QA/QC,Existe plano de QA/QC com programa periodico de ensaios?,Plano documentado + cronograma,3,Alto,NBR 13028-3,,MG,2026-04-18
RP.070,Tecnica,,Aterro experimental,MODULO 12 - CONSTRUCAO,Topico 12.2 - Aterro Teste,Um aterro experimental foi realizado antes da construcao definitiva?,Relatorio do aterro piloto,2,Medio,NBR 13028-3,,MG,2026-04-18
RP.071,Tecnica,,As-built por etapa construtiva,MODULO 12 - CONSTRUCAO,Topico 12.3 - As-built,Existem documentos as-built por etapa construtiva?,As-built + ART por etapa,3,Alto,NBR 13028-3,,MG,2026-04-18
RP.072,Tecnica,,"Relatorios de ensaios (granulometria, compactacao, permeabilidade)",MODULO 12 - CONSTRUCAO,Topico 12.4 - Laudos,Existem laudos laboratoriais mensais?,Historico de laudos,2,Medio,NBR 13028-3,,MG,2026-04-18
RP.073,Gestao,,Registros de anomalias e acoes corretivas,MODULO 13 - OPERACAO,Topico 13.1 - Anomalias,Ha log de anomalias com tratativas documentadas?,Sistema de registro + historico,2,Medio,PL 2519/2024 MG + ICMM,,MG,2026-04-18
RP.074,Gestao,,Lista de responsaveis e contatos 24/7,MODULO 13 - OPERACAO,Topico 13.2 - Responsaveis,Ha lista atualizada de responsaveis 24/7 com suplentes?,Organograma com contatos,2,Medio,ICMM Good Practice 2025,,MG,2026-04-18
RP.075,Tecnica,,Registros de piezometros,MODULO 14 - INSTRUMENTACAO CONTINUA,Topico 14.1 - Calibracao,Os piezometros sao calibrados e aferidos periodicamente (minimo anual)?,Certificados de calibracao + cronograma de manutencao,3,Alto,NBR 13028-3 + ICMM 2025,Cap.10,MG,2026-04-18
RP.076,Tecnica,,Conexao em tempo real com Centros de Controle,MODULO 14 - INSTRUMENTACAO CONTINUA,Topico 14.2 - Telemetria,A telemetria tem SLA de disponibilidade >= 99% nos ultimos 12 meses?,Relatorio de uptime do sistema,2,Medio,GISTM Principio 5-7 + boa pratica,,MG,2026-04-18
RP.077,Tecnica,,Plano de monitoramento geotecnico,MODULO 14 - INSTRUMENTACAO CONTINUA,Topico 14.3 - Thresholds,O plano define limiares de alerta (atencao/alerta/emergencia) com acoes automatizadas?,Matriz de thresholds amarelo/laranja/vermelho,3,Alto,ICMM Good Practice 2025,,MG,2026-04-18
RP.078,Tecnica,,Registros de inclinometros e marcos,MODULO 14 - INSTRUMENTACAO CONTINUA,Topico 14.4 - Redundancia,Pontos criticos tem instrumentacao redundante (ao menos 2 sensores por ponto)?,Planta com redundancia identificada,2,Medio,AECOM/Knight Piesold boa pratica,,MG,2026-04-18
RP.079,Tecnica,,Plano de monitoramento geotecnico,MODULO 14 - INSTRUMENTACAO CONTINUA,Topico 14.5 - Dashboards,Existe dashboard consolidado com series historicas acessivel aos gestores?,URL do dashboard + registros de acesso,2,Medio,ICMM Good Practice 2025,,MG,2026-04-18
RP.080,Tecnica,,Plano de monitoramento hidrico,MODULO 14 - INSTRUMENTACAO CONTINUA,Topico 14.6 - Laboratorio,O laboratorio de analises hidricas e credenciado ISO/IEC 17025?,Certificado + escopo acreditado,2,Medio,MAC Tailings Guide v3.1,,MG,2026-04-18
RP.081,Tecnica,,RISR - Relatorio de Inspecao de Seguranca Regular,MODULO 15 - INSPECOES E MANUTENCAO,Topico 15.1 - Inspecao Visual,Inspecoes visuais diarias/semanais sao realizadas por equipe treinada?,Checklists preenchidos + evidencias fotograficas,3,Alto,NRM-19 + MAC Guide,,MG,2026-04-18
RP.082,Tecnica,,Relatorios de monitoramento de drenagem,MODULO 15 - INSPECOES E MANUTENCAO,Topico 15.2 - Drenagem,A limpeza e manutencao dos sistemas de drenagem esta em dia (inspecao pre-chuva)?,Registros de limpeza + cronograma sazonal,3,Alto,NBR 13028-3 + NRM-19,,MG,2026-04-18
RP.083,Tecnica,,Projeto de forracao de taludes e cobertura vegetal,MODULO 15 - INSPECOES E MANUTENCAO,Topico 15.3 - Vegetacao,A cobertura vegetal dos taludes esta integra (sem erosao superficial visivel)?,Relatorio de vistoria + fotos,2,Medio,NBR 13028-3,,MG,2026-04-18
RP.084,Tecnica,,Registros de anomalias e acoes corretivas,MODULO 15 - INSPECOES E MANUTENCAO,Topico 15.4 - Tempo de Resposta,O tempo medio entre deteccao de anomalia e primeira acao corretiva e <= 48h?,Metrica documentada com historico de 12 meses,2,Medio,ICMM Good Practice 2025,,MG,2026-04-18
RP.085,Tecnica,,Plano de monitoramento geotecnico,MODULO 15 - INSPECOES E MANUTENCAO,Topico 15.5 - Inspecao pos-chuva,Ha protocolo de inspecao apos chuvas acima de threshold pre-definido?,POP + historico de inspecoes realizadas,3,Alto,boa pratica pos-Brumadinho,,MG,2026-04-18
RP.086,Tecnica,,DCE - Declaracao de Condicao de Estabilidade,MODULO 15 - INSPECOES E MANUTENCAO,Topico 15.6 - Defeitos,Defeitos reportados em RISR anterior foram sanados ou tem plano de acao?,Cross-check RISR atual vs. anterior,3,Alto,NRM-19,,MG,2026-04-18
RP.087,Legal,,PARE - Plano de Aproveitamento de Rejeitos e Estereis,MODULO 16 - CONDICIONANTES E ESG,Topico 16.1 - Condicionantes da Licenca,Todas as condicionantes da licenca ambiental estao sendo cumpridas no prazo?,Matriz de condicionantes com status + prazos,3,Alto,CONAMA 237/97 + Lei 15190/2025,,MG,2026-04-18
RP.088,Legal,,Declaracao em RAL,MODULO 16 - CONDICIONANTES E ESG,Topico 16.2 - RAL e RAA,O RAL (ANM) e RAA (ambiental) foram entregues nos ultimos ciclos sem atraso?,Comprovantes de entrega dos ultimos 3 anos,2,Medio,Res. ANM 85/2021 + Lei 21972/2016,,MG,2026-04-18
RP.089,Gestao,,Ficha publica da pilha,MODULO 16 - CONDICIONANTES E ESG,Topico 16.3 - ESG Reporting,"Dados da pilha estao integrados ao relatorio de sustentabilidade (GRI 306, SASB MM)?",Relatorio de sustentabilidade + citacao explicita,2,Medio,GRI + SASB + ICMM,,MG,2026-04-18
RP.090,Legal,,Servidao mineral registrada,MODULO 16 - CONDICIONANTES E ESG,Topico 16.4 - Fundiario,A situacao fundiaria da area da pilha esta regularizada (titularidade ou servidao)?,Matriculas + servidoes + CAR/CCIR,3,Alto,Res. ANM 189/2024 + boa pratica,,MG,2026-04-18
RP.091,Legal,,PARE - Plano de Aproveitamento de Rejeitos e Estereis,MODULO 16 - CONDICIONANTES E ESG,Topico 16.5 - Passivo Ambiental,"Nao ha autos de infracao, TACs ou acoes judiciais abertas relativas a esta pilha?","Certidoes IBAMA, SEMAD e tribunais",3,Alto,boa pratica DD + GISTM,,MG,2026-04-18
RP.092,Gestao,,Simulados periodicos com comunidades,MODULO 17 - STAKEHOLDERS,Topico 17.1 - Engajamento Comunitario,Existe canal ativo de dialogo com comunidades da ZAS e ZSS?,Atas de reunioes + indicador de NPS comunitario,2,Medio,GISTM Principio 14 + ICMM,,MG,2026-04-18
RP.093,Gestao,,Protocolo de comunicacao com defesa civil,MODULO 17 - STAKEHOLDERS,Topico 17.2 - Transparencia Ativa,Informacoes de seguranca sao comunicadas proativamente (nao apenas sob demanda)?,Frequencia + canais de comunicacao periodica,2,Medio,PL 2519/2024 MG + GISTM,,MG,2026-04-18
RP.094,Gestao,,Ficha publica da pilha,MODULO 17 - STAKEHOLDERS,Topico 17.3 - Grievance Mechanism,Ha canal formal de reclamacoes/queixas com resposta rastreavel em <= 30 dias?,Sistema de ouvidoria + metricas de fechamento,2,Medio,GISTM Principio 14 + ICMM,,MG,2026-04-18
RP.095,Gestao,,Mapa da ZAS,MODULO 17 - STAKEHOLDERS,Topico 17.4 - Planos de Contingencia Comunitarios,Comunidades na ZAS possuem plano proprio de emergencia e rota de fuga?,Material educativo + registros de treinamento comunitario,3,Alto,Lei MG 23.291/2019 + GISTM,,MG,2026-04-18
RP.096,Gestao,,EOR designado,MODULO 18 - GOVERNANCA,Topico 18.1 - Accountability,A responsabilidade pela seguranca da pilha esta claramente atribuida em nivel C-level?,Organograma + carta de accountability assinada,3,Alto,GISTM Principio 1-3,,MG,2026-04-18
RP.097,Gestao,,Politicas corporativas GISTM,MODULO 18 - GOVERNANCA,Topico 18.2 - Cultura de Seguranca,A empresa publicou politica de seguranca de pilhas com compromissos mensuraveis?,Politica corporativa assinada pelo CEO,2,Medio,ICMM Good Practice 2025,,MG,2026-04-18
RP.098,Gestao,,ITRB,MODULO 18 - GOVERNANCA,Topico 18.3 - Revisao Independente,Ha revisao independente externa periodica (ITRB ou auditor terceiro) pelo menos anual?,Atas ITRB / relatorios de auditoria externa,3,Alto,GISTM Principio 13 + PL 3799/2024,,MG,2026-04-18
RP.099,Gestao,,Plano de monitoramento geotecnico,MODULO 18 - GOVERNANCA,Topico 18.4 - Matriz de Risco,A matriz de riscos da pilha e revisada com frequencia minima anual?,Matriz datada + historico de revisoes,3,Alto,ICMM + MAC Guide,,MG,2026-04-18
