num,abrangencia,classificacao,modalidade,etapa,fase,licenca,documento,doc_id,descricao,atualizacoes,aplicabilidade,esfera,norma_referencia,vigente,data_ultima_verificacao
11.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LI,Projeto de drenagem superficial (TR 500 anos),PROJ_DRENS,"Drenagem periferica, dispositivos de dissipacao de energia, estruturas de retencao de sedimentos",por revisao,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
12.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,"Analise de estabilidade estatica (FS >= 1,5)",AN_EST_EST,"Fator de seguranca minimo 1,5 para condicao estatica em todos os taludes criticos",anual,Obrigatorio,abnt+federal_anm,NBR 13028-3; NRM-19,sim,2026-04-18
13.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,"Analise de estabilidade sismica (FS >= 1,1)",AN_EST_SISM,"Fator de seguranca minimo 1,1 para condicao sismica (pseudo-estatica ou dinamica)",anual,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
14.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,"Analise de estabilidade residual (FS >= 1,1)",AN_EST_RES,"FS minimo 1,1 apos ruptura com resistencia residual",anual,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
15.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Analise de liquefacao estatica e ciclica (CSR/CRR),AN_LIQ,Metodologias CSR/CRR para potencial de liquefacao estatica e ciclica,anual,Aplicavel a pilhas com potencial saturacao,abnt,NBR 13028-3,sim,2026-04-18
16.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Analise de tensao-deformacao,AN_TD,Modelagem numerica tensao-deformacao para cenarios criticos,quando aplicavel,Complementar quando necessario,abnt,NBR 13028-3,sim,2026-04-18
17.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Modelagem de ruptura hipotetica e volume mobilizavel,MOD_RUPT,Cenario de ruptura + estimativa de volume mobilizavel + delimitacao da area afetada,anual,Obrigatorio (base para ZAS/ZSS),abnt+internacional,NBR 13028-3; GISTM,sim,2026-04-18
18.0,Federal,Tecnica/Legal,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,"Certidao de nao-sobreposicao com APP, UC, encostas e jusante de comunidades",CERT_LOC,"Veto explicito por PL 3799/2024: nao pode em APP, UC, encostas e a jusante de comunidades/captacao",previa,Obrigatorio se PL 3799 aprovado,federal_pl,PL 3799/2024 Art.58-B Paragr.3,sim,2026-04-18
19.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Estudo de captacao de agua a jusante,EST_CAPT,Identificacao de pontos de captacao a jusante para abastecimento humano,previa,Obrigatorio,federal_pl,"PL 3799/2024 Art.58-A VII, 58-B VII",sim,2026-04-18
20.0,Estadual/Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LP,Estudo de biodiversidade e levantamento arqueologico,EST_BIO_ARQ,Vegetacao em areas prioritarias + informacoes arqueologicas (PAA/PGA),previa,Obrigatorio,federal_pl+conama,PL 3799/2024 Art.58-A VI; CONAMA 237/97,sim,2026-04-18
21.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LI,Projeto de forracao de taludes e cobertura vegetal,PROJ_FORR,Forracao + vegetacao para manter estabilidade e controlar erosao,anual,Obrigatorio,federal_pl,PL 3799/2024 Art.58-A III,sim,2026-04-18
22.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,PROJETO,Concepcao,LI,"Projeto de instrumentacao (piezometros, inclinometros, marcos superficiais)",PROJ_INSTR,Dimensionamento da rede de instrumentacao integrada ao projeto,por revisao,Obrigatorio,federal_pl+abnt,PL 3799/2024 Art.58-D; NBR 13028-3,sim,2026-04-18
23.0,Federal,Tecnica,LI,IMPLANTACAO,Construcao,LI,Aterro experimental (compactacao e trafegabilidade),ATERRO_EXP,Validacao de especificacoes construtivas via aterro piloto,unico,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
24.0,Federal,Tecnica,LI,IMPLANTACAO,Construcao,LI,Plano de QA/QC com programa periodico de ensaios,QAQC,Controle de qualidade sistematico com ensaios periodicos documentados,contínuo,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
25.0,Estadual,Legal,LI,IMPLANTACAO,Construcao,LI,ART de execucao (construtora),ART_EXEC,Anotacao de Responsabilidade Tecnica da empresa que executa a obra,por etapa,Obrigatorio,estadual_pl,PL 2519/2024 MG Art.1,sim,2026-04-18
26.0,Federal,Tecnica,LI,IMPLANTACAO,Construcao,LI,"Relatorios de ensaios (granulometria, compactacao, permeabilidade)",ENS_LAB,Laudos laboratoriais periodicos de caracterizacao do material depositado,mensal,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
27.0,Federal,Tecnica,LI/LO,IMPLANTACAO,Construcao,LI,As-built por etapa construtiva,ASBUILT,Documento tecnico da geometria real executada por etapa,por etapa,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
28.0,Internacional,Gestao,LI,IMPLANTACAO,Construcao,LI,Diario de obra geotecnico,DIARIO_OBRA,"Registro diario de eventos, condicoes climaticas, anomalias e acoes",diaria,Boa pratica ICMM,internacional,ICMM Good Practice 2025,sim,2026-04-18
29.0,Federal,Tecnica,LI,IMPLANTACAO,Construcao,LI,Registros de controle de anisotropia do material depositado,CTRL_ANIS,Monitoramento de direcao/inclinacao de deposicao,por camada,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
30.0,Federal,Tecnica,LI,IMPLANTACAO,Construcao,LI,"Especificacoes detalhadas de camadas (espessura, inclinacao, compactacao)",ESPEC_CAM,Padrao construtivo por camada com tolerancia e frequencia de verificacao,por revisao,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
31.0,Federal,Tecnica,LI,IMPLANTACAO,Construcao,LI,Projeto de dispositivos de dissipacao de energia,DISS_ENERG,Bacias de dissipacao e estruturas hidraulicas de transicao,por revisao,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
32.0,Federal,Tecnica,LI,IMPLANTACAO,Construcao,LI,Projeto de estruturas de retencao de sedimentos,RET_SED,Bacias/barragens de sedimentos com dimensionamento contextual,por revisao,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
33.0,Federal,Tecnica,LI,IMPLANTACAO,Construcao,LI,Registros de compactacao por condutividade eletrica (QA/QC avancado),CTRL_COND,Metodo auxiliar de controle nao-destrutivo de compactacao,opcional,Boa pratica geotecnica,boa_pratica,AECOM/Knight Piesold guidelines,sim,2026-04-18
34.0,Federal,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,"Manual de Operacao, Manutencao e Monitoramento (MOMM)",MOMM,Documento mestre unificado de operacao,revisao anual,Obrigatorio,abnt+federal_anm,NBR 13028-3; NRM-19,sim,2026-04-18
35.0,Federal,Tecnica/Digital,LO|LAC1|LAC2,OPERACAO,Operacao,LO,Conexao em tempo real de instrumentacao com Centros de Controle Operacional publico e do empreendedor,CONN_RT,"Telemetria continua de piezometros, inclinometros e marcos para CCO publico (onde houver) e interno",continua,Obrigatorio se PL 3799 aprovado,federal_pl,PL 3799/2024 Art.2 Paragr.3,sim,2026-04-18
36.0,Federal,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,Plano de monitoramento geotecnico,PLAN_MGEO,"Cadencia de leituras, thresholds, responsavel, acoes",revisao anual,Obrigatorio,federal_anm+abnt,NRM-19; NBR 13028-3,sim,2026-04-18
37.0,Estadual,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,"Plano de monitoramento hidrico (ar, solo, cursos d'agua)",PLAN_MHID,"Monitoramento de contaminacao do ar, solo e recursos hidricos",revisao anual,Obrigatorio se PL 2519 aprovado,estadual_pl,PL 2519/2024 MG Art.6 IV,sim,2026-04-18
38.0,Federal,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,Registros de piezometros (niveis e pressoes),REG_PIEZ,Leituras mensais ou em frequencia menor conforme thresholds,mensal,Obrigatorio,abnt+internacional,NBR 13028-3; GISTM Principio 5-7,sim,2026-04-18
39.0,Federal,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,Registros de inclinometros e marcos superficiais,REG_INCL,Monitoramento de deslocamentos,mensal,Obrigatorio,abnt+internacional,NBR 13028-3; GISTM,sim,2026-04-18
40.0,Federal,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,"Relatorios de monitoramento de drenagem (obstrucao, vazao, turbidez)",REG_DREN,Inspecoes das estruturas de drenagem,mensal,Obrigatorio,federal_pl+abnt,PL 3799/2024 Art.58-B V; NBR 13028-3,sim,2026-04-18
41.0,Estadual,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,Boletins periodicos de estabilidade com ART,BOL_EST,Assinados pelo engenheiro responsavel; base do PL 2519/2024,mensal/trimestral,Obrigatorio,estadual_pl,PL 2519/2024 MG Art.6 III,sim,2026-04-18
42.0,Federal,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,RISR - Relatorio de Inspecao de Seguranca Regular,RISR,Equivalente para pilhas do RISR de barragens,semestral,Obrigatorio (em paralelo a NRM-19),federal_anm,NRM-19,sim,2026-04-18
43.0,Federal,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,RISE - Relatorio de Inspecao de Seguranca Especial,RISE,"Apos evento climatico extremo, sismico ou anomalia",eventual,Obrigatorio sob gatilho,federal_anm,NRM-19,sim,2026-04-18
44.0,Federal,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,DCE - Declaracao de Condicao de Estabilidade,DCE,Analoga a DCE de barragens; emitida pelo responsavel tecnico,semestral,Obrigatorio,federal_anm,NRM-19,sim,2026-04-18
45.0,Federal,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,Reavaliacao e validacao anual por empresa terceira independente,REAVAL_3P,Auditoria independente anual (novo requisito PL 3799),anual,Obrigatorio se PL 3799 aprovado,federal_pl,PL 3799/2024 Art.58-B Paragr.2 e Art.58-C,sim,2026-04-18
46.0,Estadual,Tecnica,LO|LAC1|LAC2,OPERACAO,Operacao,LO,Registros de anomalias e acoes corretivas,ANOM_CORR,Log de eventos anomalos com tratativas,continuo,Obrigatorio,estadual_pl,PL 2519/2024 MG,sim,2026-04-18
47.0,Estadual,Legal,LO|LAC1|LAC2,OPERACAO,Operacao,LO,Notificacao em ate 12h ao Sisema e defesa civil,NOT_12H,Prazo maximo 12 horas para alteracao de seguranca,sob gatilho,Obrigatorio se PL 2519 aprovado,estadual_pl,PL 2519/2024 MG Art.6 I,sim,2026-04-18
48.0,Federal,Tecnica,LO|LAC1|LAC2,EMERGENCIA,Operacao,LO,PAEPRE - Plano de Acao Emergencial de Pilhas de Rejeito e Esteril,PAEPRE,Plano especifico para pilhas conforme PL 3799/2024 Art.58-C,anual,Obrigatorio se PL 3799 aprovado,federal_pl,PL 3799/2024 Art.58-C,sim,2026-04-18
49.0,Federal,Tecnica,LO|LAC1|LAC2,EMERGENCIA,Operacao,LO,PAE - Plano de Acao de Emergencia (versao NRM-19),PAE,Analogo ao PAEBM de barragens,anual,Obrigatorio,federal_anm,NRM-19,sim,2026-04-18
50.0,Federal,Tecnica,LO|LAC1|LAC2,EMERGENCIA,Operacao,LO,Estudo de inundacao em cenario de maior dano potencial,EST_INUND,Simulacao do cenario mais critico de ruptura,anual,Obrigatorio,federal_pl+internacional,PL 3799/2024 Art.58-C; GISTM,sim,2026-04-18
51.0,Federal,Tecnica,LO|LAC1|LAC2,EMERGENCIA,Operacao,LO,Mapa da ZAS - Zona de Autossalvamento,ZAS,Area atingida em ate 30 minutos,anual,Obrigatorio,abnt+internacional,NBR 13028-3; GISTM,sim,2026-04-18
52.0,Federal,Tecnica,LO|LAC1|LAC2,EMERGENCIA,Operacao,LO,Mapa da ZSS - Zona de Seguranca Secundaria,ZSS,Area atingida alem da ZAS,anual,Obrigatorio,abnt+internacional,NBR 13028-3; GISTM,sim,2026-04-18
53.0,Estadual,Gestao,LO|LAC1|LAC2,EMERGENCIA,Operacao,LO,Protocolo de comunicacao com defesa civil,PROT_DEFCIV,"Canal, cadencia e responsavel pela comunicacao",revisao anual,Obrigatorio,estadual_pl,PL 2519/2024 MG,sim,2026-04-18
54.0,Internacional,Gestao,LO|LAC1|LAC2,EMERGENCIA,Operacao,LO,Simulados periodicos de emergencia com comunidades,SIM_EMERG,Exercicios de evacuacao com populacao jusante,anual,Obrigatorio (boa pratica),estadual_pl+internacional,PL 2519/2024 MG; GISTM Princ.14,sim,2026-04-18
55.0,Estadual,Tecnica,LO|LAC1|LAC2,EMERGENCIA,Operacao,LO,Sistema de alerta sonoro e de evacuacao,ALERTA_SON,Pos-Brumadinho: sirenes e alertas em comunidades jusante,manutencao continua,Obrigatorio,estadual_pl,Lei MG 23.291/2019,sim,2026-04-18
56.0,Internacional,Gestao,LO|LAC1|LAC2,EMERGENCIA,Operacao,LO,Lista de responsaveis e contatos 24/7,RESP_24_7,Responsavel Tecnico de plantao + escalonamento + suplentes,atualizacao trimestral,Obrigatorio,internacional,ICMM Good Practice 2025,sim,2026-04-18
57.0,Federal,Legal,LP/LI/LO|LAC1|LAC2,APROVEITAMENTO,Operacao,LO,PARE - Plano de Aproveitamento de Rejeitos e Estereis,PARE,Plano obrigatorio para todas as minas independente de porte; aprovado pela ANM,obrigatorio,Obrigatorio desde Res. ANM 189/2024,federal_anm,Res. ANM 189/2024,sim,2026-04-18
58.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,APROVEITAMENTO,Operacao,LO,"Caracterizacao fisica, quimica e mineralogica do material",CARAC_MAT,Ensaios caracterizacao + classificacao NBR 10004 (I/II-A/II-B),por revisao,Obrigatorio,federal_anm+abnt,Res. ANM 189/2024; NBR 10004,sim,2026-04-18
59.0,Federal,Tecnica/Legal,LP/LI/LO|LAC1|LAC2,APROVEITAMENTO,Operacao,LO,Estudo de alternativas de exploracao e destinacao,ALT_EXPL,"Viabilidade de re-beneficiamento, agregados, coproduto",revisao anual,Obrigatorio,federal_anm,Res. ANM 189/2024,sim,2026-04-18
60.0,Federal,Legal,LP/LI/LO|LAC1|LAC2,APROVEITAMENTO,Operacao,LO,Servidao mineral registrada em matricula do imovel,SERV_MIN,Quando a pilha esta em terreno que nao pertence ao titular do processo,por revisao,Obrigatorio quando aplicavel,federal_anm,Res. ANM 189/2024,sim,2026-04-18
61.0,Federal,Legal,LP/LI/LO|LAC1|LAC2,APROVEITAMENTO,Operacao,LO,Declaracao em RAL - Relatorio Anual de Lavra,RAL_DECL,Campos especificos do RAL com dados das pilhas e aproveitamento,anual,Obrigatorio,federal_anm,Res. ANM 85/2021,sim,2026-04-18
62.0,Federal,Tecnica,LP/LI/LO|LAC1|LAC2,APROVEITAMENTO,Operacao,LO,Plano de Aproveitamento Economico (PAE Economico) com reaproveitamento,PAE_ECON,"PAE (diferente do PAEBM) com descricao de instalacoes, topografia e publicidade dos dados",revisao anual,Obrigatorio se PL 3799 aprovado,federal_pl,PL 3799/2024 Art.4 VI,sim,2026-04-18
63.0,Federal,Tecnica,LO|LAC1|LAC2,FECHAMENTO,Desativacao,LO,Plano de fechamento da pilha (geometria final + estabilidade longo prazo),FECH_PILHA,"Geometria final dos taludes, estabilidade fisica e quimica pos-operacao",revisao quinquenal,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
64.0,Federal,Tecnica,LO|LAC1|LAC2,FECHAMENTO,Operacao,LO,Plano de fechamento progressivo,FECH_PROG,Reabilitacao por trechos ao longo da operacao,revisao anual,Boa pratica (preferencial),abnt+internacional,NBR 13028-3; GISTM,sim,2026-04-18
65.0,Federal,Tecnica,LO|LAC1|LAC2,FECHAMENTO,Desativacao,LO,Estabilidade quimica pos-operacao (longo prazo),EST_QUIM,"Drenagem acida, lixiviacao, contencao de contaminantes",revisao quinquenal,Obrigatorio,abnt,NBR 13028-3,sim,2026-04-18
66.0,Federal,Tecnica,LO|LAC1|LAC2,FECHAMENTO,Desativacao,LO,Plano de uso futuro da area,USO_FUT,Destinacao posterior da area reabilitada,por revisao,Obrigatorio,federal_anm+abnt,NRM-19; NBR 13028-3,sim,2026-04-18
67.0,Federal,Tecnica,LO|LAC1|LAC2,FECHAMENTO,Desativacao,LO,PRAD - Plano de Recuperacao de Area Degradada,PRAD,Exigido para todas as areas mineradas pelo licenciamento ambiental,revisao anual,Obrigatorio,federal_conama+abnt,CONAMA 4/2010; NBR 13030,sim,2026-04-18
68.0,Estadual,Digital,LO|LAC1|LAC2,TRANSPARENCIA,Operacao,LO,"Ficha publica da pilha (localizacao, tamanho, potencial de danos)",FICHA_PUB,Obrigatorio em site eletronico de livre acesso,mensal,Obrigatorio se PL 2519 aprovado,estadual_pl,PL 2519/2024 MG Art.6 VI-a,sim,2026-04-18
69.0,Estadual,Digital,LO|LAC1|LAC2,TRANSPARENCIA,Operacao,LO,Portal publico com analises de estabilidade e ART identificada,PORTAL_PUB,Resultados de analises com nome do responsavel tecnico,mensal,Obrigatorio se PL 2519 aprovado,estadual_pl,PL 2519/2024 MG Art.6 VI-b,sim,2026-04-18
70.0,Estadual,Digital,LO|LAC1|LAC2,TRANSPARENCIA,Operacao,LO,Integracao com banco de dados publico estadual (Sisema),BD_EST,Sisema centraliza; empreendedor envia dados,continuo,Obrigatorio se PL 2519 aprovado,estadual_pl,PL 2519/2024 MG Art.8,sim,2026-04-18
71.0,Federal,Digital,LO|LAC1|LAC2,TRANSPARENCIA,Operacao,LO,Cadastro em sistemas publicos de controle federal,CAD_FED,SIGBM equivalente para pilhas (em criacao pela ANM),continuo,Obrigatorio quando ANM criar sistema,federal_pl+federal_anm,PL 3799/2024 Art.58-C; Res. ANM 191/2024,sim,2026-04-18
72.0,Federal,Legal,LO|LAC1|LAC2,TRANSPARENCIA,Operacao,LO,Comunicacao previa de modificacao ao MMA e orgao estadual,COMUN_MOD,"Modificacao de local, metodologia ou condicao exige aviso previo",sob gatilho,Obrigatorio se PL 3799 aprovado,federal_pl,PL 3799/2024 Art.58-E,sim,2026-04-18
73.0,Internacional,Gestao,LO|LAC1|LAC2,TRANSPARENCIA,Operacao,LO,Relatorio publico de conformidade GISTM,REL_GISTM,Publicacao anual da conformidade aos 77 requisitos,anual,Obrigatorio para membros ICMM,internacional,GISTM Princ.14-15; ICMM,sim,2026-04-18
74.0,Internacional,Gestao,LO|LAC1|LAC2,GOVERNANCA_GISTM,Operacao,LO,EOR - Engineer of Record designado com credenciais publicas,EOR,Engenheiro responsavel pela facility; credenciais divulgadas,revisao anual,Obrigatorio para empresas ICMM,internacional,GISTM Principio 3,sim,2026-04-18
75.0,Internacional,Gestao,LO|LAC1|LAC2,GOVERNANCA_GISTM,Operacao,LO,RTFE - Responsible Tailings Facility Engineer,RTFE,Engenheiro de ligacao interna na empresa,revisao anual,Obrigatorio para empresas ICMM,internacional,GISTM Principio 4,sim,2026-04-18
76.0,Internacional,Gestao,LO|LAC1|LAC2,GOVERNANCA_GISTM,Operacao,LO,ITRB - Independent Tailings Review Board,ITRB,Board independente de revisao das facilities de maior consequencia,reunioes periodicas,Obrigatorio para consequencia very high/extreme,internacional,GISTM Principio 13,sim,2026-04-18
77.0,Internacional,Gestao,LO|LAC1|LAC2,GOVERNANCA_GISTM,Operacao,LO,Politicas corporativas alinhadas aos 15 principios GISTM,POL_CORP,"Governanca, responsabilidade, gestao de risco, comunicacao",revisao trienal,Obrigatorio para empresas ICMM,internacional,GISTM 15 Principios,sim,2026-04-18
78.0,Internacional,Gestao,LO|LAC1|LAC2,GOVERNANCA_GISTM,Operacao,LO,Auditoria independente GTMI contra 77 requisitos auditaveis,AUD_GTMI,Certificacao por auditor credenciado pelo Global Tailings Management Institute,trienal,Opcional (voluntaria),internacional,GTMI Audit Protocol 2024,sim,2026-04-18
79.0,Internacional,Gestao,LO|LAC1|LAC2,GOVERNANCA_GISTM,Operacao,LO,Classificacao de consequencia da pilha publicada,CONS_PUB,Divulgacao publica da categoria (extreme/very high/high/significant/low),anual,Obrigatorio para empresas ICMM,internacional,GISTM Principio 6,sim,2026-04-18
80.0,Estadual,Tecnica,LP/LI/LO|LAC1|LAC2,TR_SEMAD,Concepcao,LP,TR especifico SEMAD para atividade A-05-04-7 (Pilhas de rejeito/esteril - Fe),TR_A0504,Termo de Referencia para elaboracao dos estudos ambientais,por modalidade,Obrigatorio para licenciamento em MG,estadual_mg,SEMAD/FEAM; DN COPAM 217/2017,sim,2026-04-18
81.0,Estadual,Tecnica,LAS RAS,TR_SEMAD,Concepcao,LAS,TR especifico SEMAD para atividade A-05-06-2 (Disposicao em cava de mina),TR_A0506,Disposicao de esteril/rejeito inerte ou nao inerte em cava,por modalidade,Obrigatorio para licenciamento em MG,estadual_mg,SEMAD/FEAM; DN COPAM 217/2017,sim,2026-04-18
82.0,Estadual,Tecnica,LAS RAS,TR_SEMAD,Concepcao,LAS,TR especifico SEMAD para atividade A-05-08-4 (Reaproveitamento em pilha),TR_A0508,Reaproveitamento de bens minerais metalicos dispostos em pilha,por modalidade,Obrigatorio para licenciamento em MG,estadual_mg,SEMAD/FEAM; DN COPAM 217/2017,sim,2026-04-18
83.0,Estadual,Tecnica,LP/LI/LO|LAC1|LAC2,TR_SEMAD,Concepcao,LP,RCA - Relatorio de Controle Ambiental,RCA,Para empreendimentos que nao exigem EIA,por licenciamento,Obrigatorio conforme enquadramento,estadual_mg+federal_conama,CONAMA 237/97; SEMAD padrao,sim,2026-04-18
84.0,Estadual,Tecnica,LP/LI/LO|LAC1|LAC2,TR_SEMAD,Concepcao,LP,PCA - Plano de Controle Ambiental,PCA,Plano de medidas de controle para os impactos identificados,por licenciamento,Obrigatorio,estadual_mg+federal_conama,CONAMA 237/97; SEMAD padrao,sim,2026-04-18
85.0,Estadual,Tecnica,LP/LI/LO|LAC1|LAC2,TR_SEMAD,Concepcao,LP,EIA/RIMA - Estudo de Impacto Ambiental com RIMA,EIA_RIMA,Para empreendimentos Classe 5-6 ou em area sensivel,por licenciamento,Obrigatorio conforme enquadramento,estadual_mg+federal_conama,CONAMA 237/97; DN COPAM 217/2017; SEMAD,sim,2026-04-18
1,Internacional,Premium GISTM,,GOVERNANCA_GISTM,Governanca,,Avaliacao de impacto social em comunidades afetadas (P1),DOC-GISTM-P01,Avaliacao baseline social das comunidades em ZAS/ZSS,atualizacao quinquenal,mineradoras ICMM,Internacional,GISTM Principio 1,vigente,2026-05-16
2,Internacional,Premium GISTM,,GOVERNANCA_GISTM,Governanca,,Mecanismo de grievance e engajamento continuo (P2),DOC-GISTM-P02,Canal de queixas operacional com SLA de resposta,registro continuo,mineradoras ICMM,Internacional,GISTM Principio 2,vigente,2026-05-16
3,Internacional,Premium GISTM,,GOVERNANCA_GISTM,Governanca,,Base de conhecimento integrada da pilha (P3),DOC-GISTM-P03,Knowledge management system com versionamento e custodia,atualizacao mensal,mineradoras ICMM,Internacional,GISTM Principio 3,vigente,2026-05-16
4,Internacional,Premium GISTM,,GOVERNANCA_GISTM,Governanca,,Avaliacao de risco multi-disciplinar (P4),DOC-GISTM-P04,"FMEA, BowTie ou equivalente aplicado a pilha",atualizacao anual,mineradoras ICMM,Internacional,GISTM Principio 4,vigente,2026-05-16
5,Internacional,Premium GISTM,,GOVERNANCA_GISTM,Governanca,,Selecao de alternativas com BAT - Best Available Technology (P5),DOC-GISTM-P05,Trade-off de alternativas com criterios tecnicos e ambientais,entrega no projeto,mineradoras ICMM,Internacional,GISTM Principio 5,vigente,2026-05-16
6,Internacional,Premium GISTM,,GOVERNANCA_GISTM,Governanca,,Plano de gestao da pilha - TMP (P6),DOC-GISTM-P06,TMP - Tailings Management Plan integrado a EoR/RTFE/ITRB,atualizacao anual,mineradoras ICMM,Internacional,GISTM Principio 6,vigente,2026-05-16
